ISO Code,Location,Original Region
KAZ,Almatinskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
KAZ,Almaty city,Almaty city
KAZ,Astana,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
KAZ,Atyrauskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
KAZ,East-Kazakhstanskaya,East region (East-Kazakhstanskaya)
KAZ,Karagandinskaya,Central region (Karagandinskaya)
KAZ,Kyzylordinskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
KAZ,Mangistauskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
KAZ,South-Kazakhstanskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
KAZ,West-Kazakhstanskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
KAZ,Zhambylskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
KAZ,city,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
KEN,Coast,Coast
KEN,North Eastern,North Eastern
KEN,Nyanza,Nyanza
KEN,Rift Valley,Rift Valley
KGZ,Chuy,Chuy
KHM,Banteay Mean Chey,Banteay Mean Chey
KHM,Bat Dambang-Krong Pailin,Bat Dambang-Krong Pailin
KHM,Kampong Spueu,Kampong Spueu
KHM,Kampong Thum,Kampong Thum
KHM,Kampot-Krong Kaeb-Krong Preah Sihanouk,Kampot-Krong Kaeb-Krong Preah Sihanouk
KHM,Kandal,Kandal
KHM,Khmum,Kampong Cham (incl Tboung Khmum)
KHM,Mondol Kiri-Rotanak Kiri,Mondol Kiri-Rotanak Kiri
KHM,Pousat,Pousat
KHM,Preah Vihear-Stueng Traeng-Kracheh,Preah Vihear-Stueng Traeng-Kracheh
KHM,Siem Reab-Otdar Mean Chey,Siem Reab-Otdar Mean Chey
KHM,Tboung,Kampong Cham (incl Tboung Khmum)
KIR,Central Gibert,Central Gibert
KIR,Line,Line and Phoenix Group
KIR,Northern Gilbert,Northern Gilbert
KIR,Phoenix Group,Line and Phoenix Group
KIR,Southern Gilbert,Southern Gilbert
KIR,Souyth Tarawa,Souyth Tarawa
KOR,Capital,Capital Region
KOR,Chungcheong,Chungcheong Region
KOR,Gangwon,Gangwon Region
KOR,Gyeongbuk,Gyeongbuk Region
KOR,Gyeongnam,Gyeongnam Region
KOR,Jeolla,Jeolla Region
KWT,Ahmadi,Ahmadi
KWT,Al Asimah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
KWT,Al-Farwaniyah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
KWT,Al-Jahra,Al-Jahra
KWT,Mubarak al-Sabah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
LAO,Borikhamxay,Borikhamxay
LAO,Champasack,Champasack
LAO,Khammuane,Khammuane
LAO,Luangprabang,Luangprabang
LAO,Savannakhet,Savannakhet
LAO,Sayabury,Sayabury
LAO,Vientiane Municipality,Vientiane Municipality
LAO,Vientiane Province,Vientiane Province
LAO,Xiengkhuang,Xiengkhuang
LBN,Nabtieh,"Southern, Nabtieh"
LBR,Maryland,Maryland
