ISO Code,Location,Original Region
MEX,Michoacan y Colima," Centro (Guerrero, Morelos, Puebla, Tlaxcala, Hidalgo, Michoacan y Colima)"
GMB,Mansakonko,Mansakonko
BOL,La Paz,La Paz
CPV,S.Vicente,S.Vicente
UGA,Teso,"Eastern (Bukedi, Bugishu, Teso)"
KWT,Mubarak al-Sabah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
TUR,Icel,"Mediterranean (Adana, Antalya, Burdur, Hatay, Isparta, Icel, K Maras, Osmaniye)"
IDN,East Nusa Tenggara,East Nusa Tenggara
CUB,S.Spiritus,S.Spiritus
BRB,St. Lucy,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
JAM,St Ann,"St Ann, St Catherine"
AGO,Kuando Kubango, Kuando Kubango
PAK,AJK,AJK
CUB,Pinar del Rio,Pinar del Rio
URY,San Jose,"Litoral Sur (Soriano, Colonia and San Jose)"
KAZ,West-Kazakhstanskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
TJK,DRS,DRS
VEN,Region Los Andes, Region Los Andes
PHL,Cordillera Admin,Cordillera Admin Region
LAO,Savannakhet,Savannakhet
MYS,Kuala Lumpur Federal Territory,Kuala Lumpur Federal Territory
LSO,Mohale s Hoek,Mohale s Hoek
IRQ,Suleimaniya,Suleimaniya
IND,Chandigarth,Chandigarth
MEX,Yucatan,Yucatan
TJK,formerly,Sughd (formerly Leninabad)
LAO,Borikhamxay,Borikhamxay
BRB,St. Andrew,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
MDV,Male,Male
PRY,Misiones,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
STP,Regiao Sul,Regiao Sul
EGY,Kalyubia,Kalyubia
VEN,Region Zuliana, Region Zuliana
IRN,Boyerahmad,Kohgiluyeh and Boyerahmad
BRB,St Michael,St Michael
PAN,Cocle,Cocle
IDN,DI Yogyakarta,DI Yogyakarta
CMR,Extreme Nord,Extreme Nord
GMB,Janjabureh,Janjabureh
COM,Ndzouani,Anjouan (Ndzouani)
VEN,Region Centro-Occidental, Region Centro-Occidental
VEN,Amacuros Delta Federal Territory,Amacuros Delta Federal Territory
MNE,Centre,Centre
BRA,Amapa,Amapa
SYR,Rural Damascus,Rural Damascus
KHM,Kampong Thum,Kampong Thum
CAF,Baminigui Bangoran,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)"
EGY,Souhag,Souhag
IRQ,Qadisiya,Qadisiya
EGY,Dakahlia,Dakahlia
PHL,IVB-MIMAROPA,IVB-MIMAROPA
ETH,Ben-Gumz,Ben-Gumz
JAM,St Andrew,"Kingston, St Andrew"
KAZ,Almatinskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
GIN,N Zerekore,N Zerekore
TUR,Canakkale,"West Marmara (Balikesir, Canakkale, Edirne, Kirklareli, Tekirdag)"
