ISO Code,Location,Original Region
TCD,Barh El Gazal,"Zone 2 (Borkou, Ennedi, Tibesti, Kanem, Barh El Gazal, Lac)"
ZAF,Northern Province,Northern Province
EGY,Red Sea,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
FRA,Guadeloupe,Guadeloupe
LAO,Vientiane Province,Vientiane Province
GMB,Brikama,Brikama
GRC,Voreio Aigaio,Voreio Aigaio
UGA,Bugishu,"Eastern (Bukedi, Bugishu, Teso)"
FIN,Aland,Aland
SVK,Vychodne Slovensko,Vychodne Slovensko
ROU,Nord-Est,Nord-Est
TUR,Kutahya,"Aegean (Afyon, Aydin, Denizli, Izmir, Kutahya, Man"
IDN,West Nusa Tenggara,West Nusa Tenggara
ZAF,KwaZulu Natal,KwaZulu Natal
COL,Choco,Choco
GMB,Mansakonko,Mansakonko
IDN,Central Kalimantan,Central Kalimantan
YEM,countryside,"Abyan, Aden (town and countryside), Lahej, Ad Dali (Al Dhalih)"
CHE,Zurich,Zurich
GTM,South-Oriental,South-Oriental
ESP,Ciudad Autonoma de Melilla,Ciudad Autonoma de Melilla
PAN,Cocle,Cocle
EST,Laane-Eesti,Laane-Eesti
EGY,North Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
MDA,Chisinau,Chisinau
COD,Kasai Occidental,Kasai Occidental
KHM,Bat Dambang-Krong Pailin,Bat Dambang-Krong Pailin
ESP,Andalucia,Andalucia
PHL,IVA-CALABARZON,IVA-CALABARZON
HRV,Split-Dalmatia,County of Split-Dalmatia
MAR,Centre,Centre
UGA,Lango,"North (Karamoja, Lango, Acholi)"
ARG,NEA,NEA
CIV,Centre Nord,Centre Nord
SVK,Zapadne Slovensko,Zapadne Slovensko
UGA,Bunyoro,"Western (Bunyoro, Tooro)"
BRA,Maranhao,Maranhao
BIH,Republica Srpska,Republica Srpska
IRL,Mid-East,Mid-East
BGR,Yugozapaden,Yugozapaden
CHL,Magallanes,Magallanes and La Antartica Chilena
HRV,Varazdin,County of Varazdin
WSM,Savaii,Savaii
AGO,Kuanza Sul, Kuanza Sul
GRC,Ipeiros,Ipeiros
CZE,Praha,Praha
ETH,Affar,Affar
FRA,Reunion,Reunion
GAB,Libreville-Port Gentil,Libreville-Port Gentil
LCA,St Lucia rural,St Lucia rural
MDV,North Central,North Central
MNG,Khentii,"Eastern (Dornod, Sukhbaatar, Khentii)"
URY,Florida,"Centro Sur (Flores, Florida and Lavalleja)"
BRA,Amapa,Amapa
COL,Quindio,Quindio
MNE,Centre,Centre
ESP,Aragon,Aragon
HTI,Metropolitain,West (incl Metropolitain area)
PAK,AJK,AJK
PAK,NWFrontier,Khyber Pakhtunkhwa (NWFrontier)
GBR,East Midlands,East Midlands
KHM,Kampong Spueu,Kampong Spueu
NIC,Atlantico Norte (Raan,"Atlantico (Rio San Juan, Atlantico Norte (Raan), Atlantico Sur (Raas))"
PNG,Oro,"Northern, Oro"
ERI,uding,Maekel (Central including Asmara)
GNQ,Wele Nzas,Wele Nzas
EST,Louna-Eesti,Louna-Eesti
DZA,Boumerdes,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)"
BOL,Potosi,Potosi
KAZ,Almaty city,Almaty city
IDN,DKI Jakarta,DKI Jakarta
FRA,Ile de France,Ile de France
FRA,Auvergne,Auvergne
SSD,Northern Bahr El Ghazal,Northern Bahr El Ghazal
MDA,Center,Center
DOM,San Jose de Ocoa,"Region I (Peravia, San Cristobal, San Jose de Ocoa, Azua)"
FRA,Midi-Pyrenees,Midi-Pyrenees
IRQ,Suleimaniya,Suleimaniya
PHL,Central Visayas,VII-Central Visayas
KIR,Southern Gilbert,Southern Gilbert
KWT,Ahmadi,Ahmadi
HND,El Paraiso,El Paraiso
UGA,Kigezi,"Southwest (Ankole, Kigezi)"
ALB,Shkoder, Shkoder
CMR,Nord,Nord
PAN,Embera Wounaan,Embera Wounaan
PRY,Caazapa,"South-West (Caazapa, Itapua)"
BEL,Prov. Limburg,Prov. Limburg
UGA,Acholi,"North (Karamoja, Lango, Acholi)"
BRB,St. Peter,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
SDN,North Kordofan,North Kordofan
PRY,Itapua,"South-West (Caazapa, Itapua)"
TCD,Biltine - Wadi Fira,"Zone 4 (Ouaddai, Assongha, Sila, Biltine - Wadi Fira)"
ALB,Durres, Durres
SYR,Al Swida - Sweida,Al Swida - Sweida
MNG,Arkhangai,"Khangai (Arkhangai, Bayankhongor, Bulgan, Uvurkhangai, Khuvsgul, Orkhon)"
SAU,Eastern province,Eastern province
CAF,Baminigui Bangoran,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)"
HTI,Grande-Anse,"Grande-Anse, Nippes"
MAR,Tensift,Tensift
CIV,Centre,Centre
VEN,Merida,Merida
JPN,Hyogo,"Kansai region (Shiga, Kyoto, Osaka, Hyogo, Nara, Wakayama)"
SYR,Rural Damascus,Rural Damascus
CMR,Sud,Sud
TON,Ongo Niua,Ongo Niua
KOR,Gyeongnam,Gyeongnam Region
IDN,Central Java,Central Java
IND,Uttaranchal,Uttaranchal
HND,Intibuca,Intibuca
TJK,Duchanbe,Duchanbe
TUR,Corum,"West Black Sea (Amasya, Cankiri, Corum, Kastamonu,"
UGA,Teso,"Eastern (Bukedi, Bugishu, Teso)"
KIR,Line,Line and Phoenix Group
PAN,Colon,Colon
WSM,Apia Urban Area,Apia Urban Area
MEX,Mexico,Mexico
MAR,Centre south,Centre south
ETH,Addis,Addis
NGA,Abuja FCT,Abuja FCT
POL,Slaskie,Slaskie
GNQ,Litoral,Litoral
SDN,Al Gedarif,Al Gedarif
SOM,Middle Shabelle,Middle Shabelle
ERI,Red,Debubawi Keyih Bahri (Southern Red Sea)
GNQ,Kie Ntem,Kie Ntem
IDN,DI Aceh,DI Aceh
SVN,Primorsko-notranjska,Primorsko-notranjska
MYS,Labuan Federal Territory,Labuan Federal Territory
VEN,Amacuros Delta Federal Territory,Amacuros Delta Federal Territory
LTU,Kaunas County,Kaunas County
PHL,Northern Mindanao,X-Northern Mindanao
AZE,Baku,Baku
MNG,Govi-Altai,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)"
KAZ,city,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
RWA,City of Kigali,City of Kigali
AUT,Oberosterreich,Oberosterreich
BEL,Prov. Antwerpen,Prov. Antwerpen
KEN,Rift Valley,Rift Valley
CIV,Sud,"Sud, Abidjan"
URY,Metropolitan area,Montevideo and Metropolitan area
CUB,Ciego de Avila,Ciego de Avila
CUB,Prov. Habana,Prov. Habana
BRB,St. Joseph,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
TJK,DRS,DRS
ARG,Gran Buenos Aires,Gran Buenos Aires
CIV,Nord Ouest,Nord Ouest
IRN,EastAzarbayejan,EastAzarbayejan
KHM,Banteay Mean Chey,Banteay Mean Chey
PER,Apurimac,"East (Madre de Dios, Cusco, Puno, Apurimac)"
PRY,Neembucu,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
PRY,Misiones,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
COL,Vaupis,Vaupis
GIN,Labe,Labe
GIN,Boke,Boke
CAF,Ombella Mpoko,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
PRT,Regiao Autonoma da Madeira,Regiao Autonoma da Madeira
SWE,Mellersta Norrland,Mellersta Norrland
JAM,St Ann,"St Ann, St Catherine"
TCD,Bahr Koh,"Zone 8 (Mandoul, Moyen-Chari, Bahr Koh, Lac Iro)"
ERI,Red,Semenawi Keyih Bahri (Northern Red Sea)
IDN,West Kalimantan,West Kalimantan
IDN,South Sumatra,South Sumatra
DNK,Sjaelland,Sjaelland
IRQ,Dohouk,Dohouk
BGD,Cox s Bazar," Bandarban, Cox s Bazar"
NOR,Vestlandet,Vestlandet
TUR,Gumushane,"East Black Sea (Artvin, Giresun, Gumushane, Ordu,"
SYR,Der El Zour - Deir Ezzor,Der El Zour - Deir Ezzor
VNM,South Central Coast,North Central Coast and South Central Coast
BFA,Sud-Ouest,Sud-Ouest
TJK,GBAO,GBAO
HND,Colon,Colon
PNG,Autonomous Region of Bougainville,Autonomous Region of Bougainville
CAF,Ouham Pende,"RS III (Ouham Pende, Ouham)"
SEN,Thies,Thies
GAB,Woleu Ntem,Woleu Ntem
IRN,Boyerahmad,Kohgiluyeh and Boyerahmad
IDN,islands,Riau (incl. Riau islands)
COL,Sur,Bolivar (Sur and Norte)
PER,Junin,"Central (Huancavelica, Huanuco, Junin, Pasco)"
CMR,Extreme Nord,Extreme Nord
SRB,Vojvodina,Vojvodina
BRB,St. John,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
KAZ,Astana,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
TUN,Beja,"Nord Ouest (Beja, Jendouba, Kef, Siliana)"
BRA,Rondonia,Rondonia
MNG,Tuv,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
SEN,Saint Louis,Saint Louis
PRY,Caaguazu,"North-East (Caaguazu, Alto Parana, Canideyu)"
CZE,Severovychod,Severovychod
SVK,Stredne Slovensko,Stredne Slovensko
AGO,Kuando Kubango, Kuando Kubango
KHM,Kampong Thum,Kampong Thum
PHL,Central Luzon,III-Central Luzon
SLV,Occidental,Occidental
GTM,North-Oriental,North-Oriental
FJI,Ra,Ra
HRV,City of Zagreb,City of Zagreb
LTU,Klaipeda County,Klaipeda County
KAZ,East-Kazakhstanskaya,East region (East-Kazakhstanskaya)
ECU,Sierra,Sierra
SWE,Norra Mellansverige,Norra Mellansverige
GRC,Kriti,Kriti
BEL,Bruxelles - Brussel,Bruxelles - Brussel
RUS,The Urals  Federal District,The Urals  Federal District
TUR,Kirkla,"West Marmara (Balikesir, Canakkale, Edirne, Kirkla"
GAB,Ogooue Ivindo,Ogooue Ivindo
TJK,formerly,Sughd (formerly Leninabad)
ESP,Cataluna,Cataluna
CIV,Centre Ouest,Centre Ouest
PHL,Eastern Visayas,VIII-Eastern Visayas
MYS,Kuala Lumpur Federal Territory,Kuala Lumpur Federal Territory
GEO,Samegrelo-Zemo Svateni,Samegrelo-Zemo Svateni
SDN,South Kordofan,South Kordofan
SYR,Al Raka-Raqqa,Al Raka-Raqqa
BGD,Gopalganj," Gopalganj, Madaripur, Munshiganj, Shariatpur"
DOM,Dajabon,"Region VII (Dajabon, Monte Cristi, Santiago Rodriguez, Valverde)"
TCD,Hadjer Lamis,"Zone 5 (Chari-Baguimi, Dababa, Baguirmi, Hadjer Lamis)"
SRB,Sumadija,Sumadija and West Serbia
CHN,Tibet,Tibet
CZE,Jihozapad,Jihozapad
DOM,Maria Trinidad Sanchez,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
CRI,San Jose,San Jose
JAM,St Andrew,"Kingston, St Andrew"
LTU,Telsiai County,Telsiai County
CAF,Sangha Mbaere,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)"
MNG,Darkhan-Uul,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
MNG,Sukhbaatar,"Eastern (Dornod, Sukhbaatar, Khentii)"
AZE,Guba Khachmaz,Guba Khachmaz
VEN,Federal District,Federal District
CUB,Pinar del Rio,Pinar del Rio
VEN,Amazonas Federal Territory,Amazonas Federal Territory
TUR,Aegean (Afyon,"Aegean (Afyon, Aydin, Denizli, Izmir, Kutahya, Man"
ZWE,Matebeleland North,Matebeleland North
IND,Dadra,Dadra and Nagar Haveli
SSD,Western Equatoria,Western Equatoria
HTI,Centre,Centre
ITA,Provincia Autonoma di Trento,Provincia Autonoma di Trento
KAZ,Mangistauskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
BRA,Ceara,Ceara
IDN,South Kalimantan,South Kalimantan
ALB,Lezhe, Lezhe
COL,Amazonas,Amazonas
KOR,Capital,Capital Region
BRB,St Michael,St Michael
PRT,Norte,Norte
TGO,Centrale,Centrale
BRB,St. Lucy,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
IRQ,Muthanna,Muthanna
AFG,Helmand,South (Uruzgan Helmand Zabul Nimroz Kandahar)
LAO,Luangprabang,Luangprabang
GTM,Peten,Peten
GRC,Sterea Ellada,Sterea Ellada
MRT,Adrar,Adrar
BFA,Nord,Nord
ROU,Centru,Centru
IRN,Sistanand Baluchestan,Sistanand Baluchestan
